Sr no,Name of library,x coord,y coord,Addresss
179,Mahatma phule sarvajanik vachnalay,19.19881851,76.84783444,"Khandegaon, Maharashtra 431512"
180,Mahatma Jyotirao Phule sarvajanik Vachnalaya,19.68113819,75.73197361,"Tembhurni, Maharashtra 431208"
181,Mahatma Jyotiba Phule Wachanalay,19.14408306,77.1231885,"Khairgaon Kh., Maharashtra 431745"
182,Mahatma Phule sarvjnik Wachnalya,20.01949146,79.58187846,"Sawali, Maharashtra 441225"
183,Savitribai Phule Wachnalai,20.9076107,76.02439075,"Ghatpuri, Sarola, Khamgaon, Maharashtra 444303"
184,Mahatma Jyotiba Phule Vachanalaya,20.55592888,77.49664374,"Vijaypath Nagar, Gopal Nagar, Amravati, Maharashtra 444607"
185,Mahatma jyotiba phule sarwajanik vachanalay mengatola,21.51920484,79.3948667,"Mengatola post pathari, ta, Goregaon"
186,Kai.Manjulhabai Patil sarvajanik Vachnalay,20.76187076,75.20150041,"Unnamed Road, Rameshwar Bk., Maharashtra 425105"
187,महात्मा फुले सार्वजनिक वाचनालय,20.5508276,77.33599234,"Mothi Umri, Akola, Maharashtra 444005"
188,"Mahatma Jyotirao Phule, Library",20.02981361,79.49398784,"Sawali, Maharashtra 441225"
189,Mahatma Jyotiba Phule Library And Savitribai Phule Study Centre Minghari.,20.23611394,79.16439802,"Minghari, Maharashtra 441223"
190,Mahatma jyotiba phule,20.61519388,78.93578872,"Rd, near bus stop, Ralegaon, Maharashtra 445402"
191,Mahatma Jyotiba Fule Library,20.79162071,76.98323342,"Silvercity Rd, Khate Layout, Madhav Nagar, Khamgaon, Maharashtra 444303"
192,Yuwa sarvajanik wachnalay,20.682641,80.14218117,"Ekodi, Maharashtra 441614"
193,Kranti Sarvajanik Wachanalaya Datala,21.15366189,76.6080489,"Datala, Maharashtra 443102"
194,प्रगती सार्वजनिक वाचनालय आजनी खुर्द,18.73464724,76.41271116,"Ajani Kh, Maharashtra 413514"
195,Kai pandharinath daji adsure patil sarvajanik vachanalay,19.47060424,74.95156328,"Warwandi, Babhulgaon, Maharashtra 413704"
196,savitriaai library jugnala,20.69928631,80.44979834,"Jugnala, Maharashtra 441206"
197,Sarvajanik vachanalay Dahiwad Kh,21.26799714,75.68617445,"Dahiwad Kh., Maharashtra 425105"
198,Sarvajanik Vachnalay,21.27370591,79.5159605,"Kharbi, Maharashtra 441906"
199,Pradnyadeep Sarvajanik Vachnalay,20.38462141,74.47046697,"Narsingpur, Kannad, Maharashtra 431103"
200,Sarvajanik Wachanalaya Salekasa,21.49876236,79.72445653,"Amgaon - Salekasa Rd, Salekasa, Maharashtra 441916"
201,Sarvajanik Vachnalay Atkali,18.86253423,78.05060981,"Atkali, Maharashtra 431736"
202,Kavdeshwar sarvajanik vachanalay,18.79027799,74.49412577,"Kaudgaon, Maharashtra 413201"
203,"Shri. Cchatrapati Shivaji Sarvajanik Wachanalaya, Ghodezari",21.03805108,79.7137144,"Ghodezari, Kolara, Maharashtra 441805"
204,सार्वजनिक वाचनालय,20.40652698,76.83291315,"Unnamed Road, Anjani Budruk, Maharashtra 443301"
205,Lokseva Sarvajanik Vachnalay,20.49360452,78.38436877,"Chani., Maharashtra 445002"
206,लोभिवंत सार्वजनिक वाचनालय साई,20.13694115,77.82060738,"Sai Ijara, Maharashtra 445204"
207,Aapale sarvjanik vachnalay,19.92884941,75.20292861,"Badnapur, behind Grampanchayat Office, Kinhola, Maharashtra 431213"
208,श्री अहिल्यादेवी सार्वजनिक वाचनालय जढाळा,18.81941211,76.67780498,"Jadhala, Maharashtra 413523"
209,"Dyandeep Sarvajanik Vachnalay, Jambhora",19.4298558,75.98099184,"Jambhora, Maharashtra 443308"
210,Dr Babasaheb ambedkar sarvjanik vachnalaya,21.46423516,74.14777785,"Rajale, Maharashtra 425411"
211,"Sarvajanik vachanalay, Biladi",20.60245993,74.62707935,"Biladi, Maharashtra 424005"
212,Kamlabai sarvajanik vachnalay,20.92744772,80.06527681,"Belati bk, Maharashtra 441614"
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,AURANGABAD,,,
230,,,,
231,Nagar Parishad Wachanalaya,18.18891537,76.04200272,"52PR+4QP, S.R.T.Colony, Osmanabad, Maharashtra 413501"
232,Abhinav Vachanalay,19.94396036,75.29644334,"V8GV+98P, Sarveshwar Nagar, All India Radio Staff Quarters, Vishnu Nagar, Sindhi Colony, Aurangabad, Maharashtra 431001"
